1,False,"b'Miller, 1754'",3995,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Pan-Coniferae',b'Coniferae',b'Pinaceae',b'Abies'
2,False,"b'Linnaeus, 1753'",464,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Malpighiales',b'Euphorbiaceae',b'Acalyphoideae',b'Acalypha'
3,False,"b'Marshall, 1785'",108,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer saccharum-type'
4,False,"b'Linnaeus, 1753'",391,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer negundo'
5,False,"b'Linnaeus, 1753'",107,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer pensylvanicum'
6,False,"b'Linnaeus, 1753'",914,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer rubrum'
7,False,"b'Linnaeus, 1753'",82,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer saccharinum-type'
8,False,"b'Lamarck, 1786'",169,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer spicatum'
9,False,"b'Linnaeus, 1753'",334,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Acer',b'Acer undiff.'
10,False,"b'Linnaeus, 1753'",119,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Monilophyta',b'Polypodiophyta',b'Leptosporangiatae',b'Polypodiales',b'Pteridaceae',b'Adiantum'
11,False,"b'Linnaeus, 1753'",121,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Sapindaceae',b'Hippocastanoideae',b'Aesculus'
12,False,"b'Linnaeus, 1753'",157,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Monocotyledoneae',b'Nartheciidae',b'Petrosaviidae',b'Asparagales',b'Amaryllidaceae',b'Allium'
13,False,"b'(Linnaeus) Moench, 1794'",481,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Fabales',b'Betulaceae',b'Betuloideae',b'Alnus',b'Alnus incana-type'
14,False,"b'(Chaix) de Candolle, 1805'",197,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Fabales',b'Betulaceae',b'Betuloideae',b'Alnus',b'Alnus subg. Alnobetula',b'Alnus viridis-type'
15,False,"b'Miller, 1754'",312,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Fabales',b'Betulaceae',b'Betuloideae',b'Alnus',b'Alnus undiff.'
16,False,b'Linnaeus',1770,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Apiidae',b'Asterales',b'Asteraceae',b'Asteroideae',b'Heliantheae',b'Ambrosiinae',b'Ambrosia-type'
17,False,"b'Linnaeus, 1753'",41,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Fabales',b'Fabaceae',b'Faboideae',b'Amorpheae',b'Amorpha-type'
18,False,"b'R. Brown, 1818'",42,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Malvidae',b'Sapindales',b'Anacardiaceae',b'Anacardiaceae undiff.'
19,False,"b'Linnaeus, 1753'",6,Other,b'Lamiidae',b'Gentianales ',b'Apocynaceae',b'APSA clade',b'Apocyneae',b'Apocynum'
20,False,"b'Britton & Brown, 1896 [P.D. Cantino & M.J. Donoghue, 2007]'",267,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Spermatophyta undiff.',b'Spermatophyta undiff. (aquatics)'
21,False,"b'Berchtold & J. Presl, 1825'",135,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Aquifoliales',b'Aquifoliaceae'
22,False,"b'Jussieu, 1789'",168,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Apiidae',b'Apiales',b'Araliaceae'
23,False,"b'M. Bieberstein, 1819'",309,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Santalales',b'Santalaceae',b'Visceae',b'Arceuthobium'
24,False,"b'Willdenow, 1809'",396,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Caryophyllales',b'Plumbaginaceae',b'Armeria'
25,False,"b'Linnaeus, 1753'",6348,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Apiidae',b'Asterales',b'Asteraceae',b'Asteroideae',b'Anthemideae',b'Artemisia'
26,False,"b'Roth, 1800'",149,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Monilophyta',b'Polypodiophyta',b'Leptosporangiatae',b'Polypodiales',b'Athyriaceae',b'Athyrium'
27,False,"b'Lamarck, 1783'",37,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Monilophyta',b'Polypodiophyta',b'Leptosporangiatae',b'Salviniales',b'Salviniaceae',b'Azolla'
28,False,"b'de Candolle, 1836'",1,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Apiidae',b'Asterales',b'Asteraceae',b'Asteroideae',b'Heliantheae',b'Engelmanniinae',b'Berlandiera-type'
29,False,"b'Linnaeus, 1753'",6026,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Rosidae',b'Fabidae',b'Fabales',b'Betulaceae',b'Betuloideae',b'Betula'
30,False,b'Linnaeus',3
31,False,b'Linnaeus',159,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Spermatophyta',b'Angiospermae',b'Mesangiospermae',b'Eudicotyledoneae',b'Gunneridae',b'Pentapetalae',b'Asteridae',b'Gentianidae',b'Campanulidae',b'Apiidae',b'Asterales',b'Asteraceae',b'Asteroideae',b'Coreopsideae',b'Bidens-type'
32,False,"b'Jussieu, 1789'",617,Other,b'Lamiidae',b'Boraginales',b'Boraginaceae'
33,False,"b'Swartz, 1800[1801]'",1167,b'Plantae',b'Viridiplantae',b'Streptophyta',b'Embryophyta',b'Tracheophyta',b'Monilophyta',b'Polypodiophyta',b'Ophioglossales',b'Ophioglossaceae',b'Botrychium'
