7059,FALSE,unknown,Animalia,Vertebrata,Mammalia,?Capra hircus,,,,,,,,,,,,,,,,
13673,TRUE,"Matthew, 1902",Animalia,Vertebrata,Mammalia,Artiodactyla,Antilocapridae,?Capromeryx sp.,,,,,,,,,,,,,,
13912,FALSE,"Bowdich, 1821",Animalia,Vertebrata,Mammalia,?Carnivora,,,,,,,,,,,,,,,,
7783,FALSE,"Kuhl, 1820",Animalia,Vertebrata,Mammalia,?Castor canadensis,,,,,,,,,,,,,,,,
13824,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Rodentia,Castoridae,?Castor sp.,,,,,,,,,,,,,,
14113,FALSE,"Goldfuss, 1820",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Cervidae,,,,,,,,,,,,,,
14192,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Cervus elaphus,,,,,,,,,,,,,,
14178,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Cervus sp.,,,,,,,,,,,,,,
20766,FALSE,"(J. R. Forster, 1771)",Animalia,Vertebrata,Aves,Caprimulgiformes,Caprimulgidae,?Chordeiles minor,,,,,,,,,,,,,,
14193,FALSE,"Illiger, 1811",Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Talpidae,?Condylura sp.,,,,,,,,,,,,,
17063,FALSE,"(Baird, 1852)",Animalia,Vertebrata,Mammalia,Rodentia,Geomyidae,?Cratogeomys castanops,,,,,,,,,,,,,,
13583,TRUE,"Osborn, 1923",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Cuvieronius sp.,,,,,,,,,,,,,,
13517,FALSE,"Ord, 1815",Animalia,Vertebrata,Mammalia,Rodentia,?Cynomys ludovicianus,,,,,,,,,,,,,,,
15356,FALSE,"Hibbard, 1956",,,,,,,,,,,,,,,,,,,,
14200,FALSE,"Lac̩p̬de, 1804",Animalia,Vertebrata,Mammalia,Cetacea,Odontoceti,Monodontidae,?Delphinapterus sp.,,,,,,,,,,,,,
13670,FALSE,"Gloger, 1841",Animalia,Vertebrata,Mammalia,Rodentia,?Dicrostonyx sp.,,,,,,,,,,,,,,,
14201,TRUE,"Quinn, 1955",Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Dinohippus sp.,,,,,,,,,,,,,,
13565,FALSE,"Gray, 1841",Animalia,Vertebrata,Mammalia,Rodentia,?Dipodomys sp.,,,,,,,,,,,,,,,
13895,TRUE,"Hibbard & Riggs, 1949",Animalia,Vertebrata,Mammalia,Rodentia,Castoridae,?Dipoides rexroadensis,,,,,,,,,,,,,,
14176,FALSE,"Lac̩p̬de, 1799",Animalia,Vertebrata,Mammalia,Sirenia,Dugongidae,?Dugong sp.,,,,,,,,,,,,,,
10085,TRUE,"Leidy, 1858",Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus complicatus,,,,,,,,,,,,,,
10081,TRUE,"Hay, 1915",Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus francisci,,,,,,,,,,,,,,
15237,TRUE,"Slaughter, 1962",,,,,,,,,,,,,,,,,,,,
10080,TRUE,"Cope, 1892",Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus simplicidens,,,,,,,,,,,,,,
7060,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus sp.,,,,,,,,,,,,,,
13686,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,Rodentia,?Erethizon dorsata,,,,,,,,,,,,,,,
13678,TRUE,"Furlong & Sinclair, 1904",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Euceratherium sp.,,,,,,,,,,,,,,
10093,FALSE,"Fischer de Waldheim, 1817",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Felidae sp.,,,,,,,,,,,,,,
15249,FALSE,"(Kerr, 1792)",,,,,,,,,,,,,,,,,,,,
