19583,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. clypeata,,,,,,,,,,,
19528,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. crecca,,,,,,,,,,,
19525,FALSE,"Linnaeus, 1766",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. discors,,,,,,,,,,,
7826,FALSE,"Ridgway, 1874",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. fulvigula,,,,,,,,,,,
7827,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. penelope,,,,,,,,,,,
19776,FALSE,"Linnaeus, 1758|Brewster, 1902",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. platyrhynchos/A. rubripes,,,,,,,,,,,
7828,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. querquedula,,,,,,,,,,,
7829,FALSE,"Brewster, 1902",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cf. A. rubripes,,,,,,,,,,,
7557,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas clypeata,,,,,,,,,,,
7552,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas crecca,,,,,,,,,,,
7555,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas crecca-type,,,,,,,,,,,
7554,FALSE,"Vieillot, 1816",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas cyanoptera,,,,,,,,,,,
7553,FALSE,"Linnaeus, 1766",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas discors,,,,,,,,,,,
19476,FALSE,"Linnaeus, 1766|Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas discors/A. crecca,,,,,,,,,,,
7822,FALSE,"Ridgway, 1874",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas fulvigula,,,,,,,,,,,
7823,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas penelope,,,,,,,,,,,
7547,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas platyrhynchos,,,,,,,,,,,
7761,FALSE,"Linnaeus, 1758|Brewster, 1902",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas platyrhynchos/A. rubripes,,,,,,,,,,,
7549,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas platyrhynchos-type,,,,,,,,,,,
7824,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas querquedula,,,,,,,,,,,
7825,FALSE,"Brewster, 1902",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas rubripes,,,,,,,,,,,
7821,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas sp.,,,,,,,,,,,
19584,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas spp.,,,,,,,,,,,
7550,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,Anas,Anas strepera,,,,,,,,,,,
22368,FALSE,"Geoffroy, 1762",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Anaspis,,,,,,,,,,,,,,
21430,FALSE,"Say, 1826",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Anaspis,Anaspis rufa,,,,,,,,,,,,,
21741,FALSE,"Casey, 1924",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anastrangalia,,,,,,,,,,,,,,
21742,FALSE,unknown,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anastrangalia,Anastrangalia cf. A. sanguinea,,,,,,,,,,,,,
7482,FALSE,"Vigors, 1825",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,,,,,,,,,,,,,,,
22959,FALSE,"Vigors, 1825",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatidae sp.,,,,,,,,,,,,,,
18808,FALSE,"Vigors, 1825",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatidae spp.,,,,,,,,,,,,,,
24147,FALSE,"Vigors, 1825",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatidae undiff.,,,,,,,,,,,,,,
7570,FALSE,"Leach, 1820",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,,,,,,,,,,,,,,
7572,FALSE,"Leach, 1820",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatinae sp.,,,,,,,,,,,,,
19477,FALSE,"Leach, 1820",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatinae spp.,,,,,,,,,,,,,
19257,FALSE,"Leach, 1820",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Anatini,,,,,,,,,,,,,
22813,FALSE,"Mulsant, 1846",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anatis,,,,,,,,,,,,,,
20874,FALSE,(Say),Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anatis,Anatis ocellata mali,,,,,,,,,,,,,
13906,FALSE,"Tschudi, 1845",Animalia,Vertebrata,Amphibia,Anura,Bufonidae,Anaxyrus,,,,,,,,,,,,,,
13907,FALSE,"(Baird & Girard, 1852)",Animalia,Vertebrata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,,,,,,,,,,,,,
24159,FALSE,"(Say, 1822)",Animalia,Vertebrata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,,,,,,,,,,,,,
24156,FALSE,"(Girard, 1854)",Animalia,Vertebrata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii,,,,,,,,,,,,,
22246,FALSE,"LeConte, 1853",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Anchastus,,,,,,,,,,,,,,
19652,FALSE,"Eschscholtz, 1829",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Anchastus,Anchastus cinereipennis,,,,,,,,,,,,,
22314,FALSE,"Motschulsky, 1845",Animalia,Arthropoda,Insecta,Coleoptera,Cryptophagidae,Anchicera,,,,,,,,,,,,,,
21896,FALSE,"Thomson, 1863",,,,,,,,,,,,,,,,,,,,
23457,FALSE,"Casey, 1900",,,,,,,,,,,,,,,,,,,,
21903,FALSE,"(Zimmermann, 1869)",,,,,,,,,,,,,,,,,,,,
21900,FALSE,"(Zimmermann, 1869)",,,,,,,,,,,,,,,,,,,,
22315,FALSE,Motschulsky,Animalia,Arthropoda,Insecta,Coleoptera,Cryptophagidae,Anchicera,Anchicera kamtschatica,,,,,,,,,,,,,
21898,FALSE,unknown,,,,,,,,,,,,,,,,,,,,
25060,FALSE,"Thomson, 1863",Animalia,Arthropoda,Insecta,Coleoptera,Cryptophagidae,Anchicera,Anchicera spp.,,,,,,,,,,,,,
3780,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa,,,,,,
3781,FALSE,"(Linnaeus) M. Bieberstein, 1808",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa,Anchusa arvensis,,,,,
5535,FALSE,"Miller, 1768",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa,Anchusa azurea,,,,,
5528,FALSE,"Miller, 1768",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa-type,Anchusa azurea-type,,,,,
3782,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa,Anchusa officinalis,,,,,
3790,FALSE,"Linnaeus, 1753|Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa/Pulmonaria,,,,,,
3783,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Boraginaceae,Anchusa-type,,,,,,
1878,FALSE,"Lamarck, 1783",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Fabales,Fabaceae,Fabaceae subf. Faboideae,Andira-type,,,,,,
5382,FALSE,Linnaeus,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Malpighiales,Phyllanthaceae,Phyllanthaceae subf. Phyllanthoideae,Andrachne,,,,,,
2055,FALSE,unknown,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Caryophyllales,Nyctaginaceae,Andradea,,,,,,,,,
21354,FALSE,unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,,,,,,,,,,,,,,,
21355,FALSE,unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrenidae spp.,,,,,,,,,,,,,,
562,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Ericaceae,Ericaceae subf. Vaccinioideae,Andromeda,,,,,,,
15116,FALSE,unknown,,,,,,,,,,,,,,,,,,,,
564,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Ericaceae,Ericaceae subf. Vaccinioideae,Andromeda,Andromeda polifolia,,,,,,
563,FALSE,"Aiton, 1789",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Ericaceae,Ericaceae subf. Vaccinioideae,Andromeda,Andromeda polifolia,Andromeda polifolia var. latifolia,,,,,
5351,FALSE,Linnaeus,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Ericales (tetrad),Andromeda-type,,,,,,,,
3534,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Monocotyledoneae,Nartheciidae,Petrosaviidae,Commelinidae,Poales,Poaceae,Andropogon,,,,,,,,
27446,FALSE,"Lagasca, 1816",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Monocotyledoneae,Nartheciidae,Petrosaviidae,Commelinidae,Poales,Poaceae,Andropogon,Andropogon barbinodis,,,,,,,
1154,FALSE,Linnaeus,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Primulaceae,Androsace-type,Androsace,,,,,,,
5310,FALSE,Linnaeus,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Ericales,Primulaceae,Androsace-type,,,,,,,,
1953,FALSE,Swartz,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Schizaeales,Schizaeales (trilete),Anemiaceae,Anemia,,,,,,,,,,,
9545,FALSE,Link,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Schizaeales,Schizaeales (trilete),Anemiaceae,,,,,,,,,,,,
1142,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,,,,,,,,,,,
25880,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,Anemone alpina,,,,,,,,
403,FALSE,"Linnaeus, 1768",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone-type,Anemone canadensis-type,,,,,,,,,,
5147,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Anemone,Anemone coronaria,,,,,,,,
22637,FALSE,"A. Gray, 1835",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone-type,Anemone cylindrica-type,,,,,,,,,,
25881,FALSE,"Fischer ex de Candolle, 1824",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,Anemone dahurica,,,,,,,,
5145,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Anemone,Anemone nemorosa,,,,,,,,
5146,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone-type,Anemone nemorosa-type,,,,,,,,,,
25876,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,Anemone patens,,,,,,,,
25882,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,Anemone pulsatilla,,,,,,,,
25883,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,Anemone pulsatilla-type,,,,,,,,
406,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone-type,Anemone quinquefolia-type,,,,,,,,,,
25884,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Anemone,,,,,,,,,
25877,FALSE,"Sprengel, 1825",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemonidium,Anemone sect. Hepatica,,,,,,,,,
25879,FALSE,"Sprengel, 1825",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone sect. Hepatica-type,,,,,,,,,,
25878,FALSE,"(Miller) de Candolle, 1817",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,Anemone sect. Pulsatilla,,,,,,,,,
25886,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemone,,,,,,,,,,
25885,FALSE,"(Spach) Juzepczuk, 1937",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone subg. Anemonidium,,,,,,,,,,
5148,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone,Anemone undiff.,,,,,,,,,,
5132,FALSE,"Linnaeus, 1753|Miller, 1754",,,,,,,,,,,,,,,,,,,,
1161,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Ranunculales,Ranunculaceae,Anemone-type,,,,,,,,,,,
9587,FALSE,Hooker & Arnott,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Magnoliidae,Piperales,Saururaceae,Anemopsis,,,,,,,,,,,
9588,FALSE,Hooker & Arnott,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Magnoliidae,Piperales,Saururaceae,Anemopsis,Anemopsis californica,,,,,,,,,,
24386,FALSE,unknown,Algae,Bacillariophyta,Pennales,Mastogloiaceae,Aneumastus,,,,,,,,,,,,,,,
12959,FALSE,Lange-Bertalot et Miho in Lange-Bertalot,Algae,Bacillariophyta,Pennales,Mastogloiaceae,Aneumastus,Aneumastus albanicus,,,,,,,,,,,,,,
12761,FALSE,(Ã˜strup) Lange-Bertalot in Lange-Bertalot and Genkal,Algae,Bacillariophyta,Pennales,Mastogloiaceae,Aneumastus,Aneumastus apiculatus,,,,,,,,,,,,,,
13047,FALSE,Lange-Bertalot,Algae,Bacillariophyta,Pennales,Mastogloiaceae,Aneumastus,Aneumastus minor,,,,,,,,,,,,,,
12437,FALSE,"(Ehrenberg) Mann et Stickle in Round, Crawford and Mann",Algae,Bacillariophyta,Pennales,Mastogloiaceae,Aneumastus,Aneumastus tuscula,,,,,,,,,,,,,,
3796,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica,,,,,
27630,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica,Angelica archangelica,,,,
3795,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica-type,Angelica archangelica-type,,,,
3797,FALSE,"Hoffmann, 1814",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica-type,Angelica palustris-type,,,,
3798,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica,Angelica sylvestris,,,,
3784,FALSE,"Lindley, 1836",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Angelica-type,,,,,
2133,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,,,,,,,,,,,,,,,,
15613,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Angiospermae incertae sedis,,,,,,,,,,,,,,,
2095,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Angiospermae undiff.,,,,,,,,,,,,,,,
23877,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Angiospermae undiff.,Angiospermae undiff. (hardwood trees),,,,,,,,,,,,,,
127,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Angiospermae undiff.,Angiospermae undiff. (herbs),,,,,,,,,,,,,,
474,FALSE,"Lindley, 1830 [P.D. Cantino & M.J. Donoghue, 2007]",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Angiospermae undiff.,Angiospermae undiff. (herbs),Angiospermae undiff. (upland herbs),,,,,,,,,,,,,
2807,FALSE,unknown,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Myrtales,Myrtaceae,Angophora-type,,,,,,,,
22604,FALSE,"Gray, 1825",Animalia,Vertebrata,Reptilia,Squamata,Squamata (lizards),Anguidae,,,,,,,,,,,,,,
22628,FALSE,"Gray, 1838",Animalia,Vertebrata,Reptilia,Squamata,Squamata (lizards),Anguidae,Anguidae cf. Elgaria sp.,,,,,,,,,,,,,
15203,FALSE,"R. Brown, 1810",,,,,,,,,,,,,,,,,,,,
6758,FALSE,"Linnaeus, 1758",Animalia,,,,,,,,,,,,,,,,,,,
25561,FALSE,"Choisy, 1834",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Garryidae,Lamiidae,Solanales,Convolvulaceae,Aniseia,,,,,
21664,FALSE,"Dejean, 1829",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anisodactylus,,,,,,,,,,,,,,
20806,FALSE,"Dejean, 1829",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anisodactylus,Anisodactylus cf. A. nigrita,,,,,,,,,,,,,
23092,FALSE,Dejean,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anisodactylus,Anisodactylus lugubris,,,,,,,,,,,,,
19105,FALSE,"Fabricius, 1798",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Anisodactylus,Anisodactylus sanctaecrucis,,,,,,,,,,,,,
24870,FALSE,"Gray, 1835",Animalia,Arthropoda,Insecta,Pterygota,Pseudophasmatidae  ,Anisomorpha ,,,,,,,,,,,,,,
24871,FALSE,"Stoll, 1813",Animalia,Arthropoda,Insecta,Pterygota,Pseudophasmatidae  ,Anisomorpha ,Anisomorpha buprestoides,,,,,,,,,,,,,
20374,FALSE,unknown,Animalia,Arthropoda,Insecta,Odonata,Anisoptera gen. sp.,,,,,,,,,,,,,,,
5245,FALSE,unknown,Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Asteridae,Gentianidae,Campanulidae,Apiidae,Apiales,Apiaceae,Anisosciadium-type,,,,,
14031,FALSE,"Dejean, 1833",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anisosticta,,,,,,,,,,,,,,
18530,FALSE,"Say, 1824",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anisosticta,Anisosticta bitriangularis,,,,,,,,,,,,,
14032,FALSE,"Timberlake, 1943",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anisosticta,Anisosticta borealis,,,,,,,,,,,,,
22363,FALSE,"Panzer, 1797",Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,Anisotoma,,,,,,,,,,,,,,
20169,FALSE,"(Herbst)., 1792",Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,Anisotoma,Anisotoma cf. A. castanea,,,,,,,,,,,,,
19265,FALSE,Brown,Animalia,Arthropoda,Insecta,Coleoptera,Leiodidae,Anisotoma,Anisotoma errans,,,,,,,,,,,,,
13918,FALSE,"Lamarck, 1809",Animalia,Annelida,,,,,,,,,,,,,,,,,,
5762,FALSE,"Linnaeus, 1753",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Magnoliidae,Magnoliales,Annonaceae,Annona,,,,,,,,,,,
3293,FALSE,"Jussieu, 1789",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Magnoliidae,Magnoliales,Annonaceae,,,,,,,,,,,,
16798,FALSE,"Fleming, 1821",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,,,,,,,,,,,,,,,
18412,FALSE,unknown,Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Anobiidae gen. sp.,,,,,,,,,,,,,,
7607,FALSE,"Lamarck, 1799Â ",Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Anodonta,,,,,,,,,,,,,,
7611,FALSE,"I. Lea, 1852",Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Anodonta,Anodonta californiensis,,,,,,,,,,,,,
7613,FALSE,"I. Lea, 1852|I. Lea, 1838",Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Anodonta,Anodonta californiensis/A.oregonensis,,,,,,,,,,,,,
7612,FALSE,"I. Lea, 1838",Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Anodonta,Anodonta oregonensis,,,,,,,,,,,,,
7616,FALSE,"Lamarck, 1799|Schumacher, 1816Â ",Animalia,Mollusca,Bivalvia,Unionoida,Anodonta/Margaritifera,,,,,,,,,,,,,,,
9947,FALSE,"A. Cunningham ex Endlicher, 1839",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Gunneridae,Pentapetalae,Rosidae,Fabidae,Oxalidales,Cunoniaceae,Anodopetalum,,,,,,,
9546,FALSE,Link,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Polypodiales,Polypodiales (trilete),Pteridaceae,Pteridaceae (trilete),Anogramma,,,,,,,,,,
4982,FALSE,(Linnaeus) Link,Plantae,Tracheophyta,Monilophyta,Polypodiophyta,Leptosporangiatae,Polypodiales,Polypodiales (trilete),Pteridaceae,Pteridaceae (trilete),Anogramma,Anogramma leptophylla,,,,,,,,,
