id,value
Animalia_Vertebrata_Mammalia_Artiodactyla_Camelidae_?Hemiauchenia macrocephala,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Camelidae_?Hemiauchenia sp.,100
,100
Animalia_Vertebrata_Mammalia_Carnivora_Felidae_Machairodontinae_?Homotherium idahoensis,100
Animalia_Vertebrata_Mammalia_Carnivora_Felidae_Machairodontinae_?Homotherium sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Hyaenidae,100
,100
Animalia_Vertebrata_Aves_Accipitriformes_Accipitridae_?Hypomorphnus sodalis,100
,100
Animalia_Vertebrata_Mammalia_?Lagomorpha,100
Animalia_Arthropoda_Insecta_Trichoptera_Limnephilidae_?Lenarchus sp.,100
Animalia_Vertebrata_Mammalia_?Leporidae,100
Animalia_Vertebrata_Mammalia_Lagomorpha_?Lepus americanus,100
Animalia_Vertebrata_Mammalia_Lagomorpha_?Lepus californicus,100
Animalia_Vertebrata_Mammalia_?Lepus sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Mustelidae/Mephitidae_Mustelidae_?Lontra canadensis,100
,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Lynx canadensis,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Lynx rufus,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammut americanum,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammut sp.,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammuthus columbi,100
,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammuthus imperator,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammuthus jeffersonii,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammuthus sp.,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Mammutidae,100
Animalia_Vertebrata_Mammalia_?Marmota,100
Animalia_Vertebrata_Mammalia_Rodentia_Sciuridae_Xerinae_?Marmota sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Martes americana,100
Animalia_Vertebrata_Mammalia_Carnivora_Mustelidae/Mephitidae_Mustelidae_?Martes sp.,100
Animalia_Vertebrata_Mammalia_Xenarthra_Pilosa_?Megalonyx jeffersonii,100
Animalia_Vertebrata_Mammalia_Xenarthra_Pilosa_?Megalonyx sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Mephitis mephitis,100
Animalia_Vertebrata_Aves_Anseriformes_Anatidae_Anatinae_Mergini_?Mergus sp.,100
Animalia_Vertebrata_Mammalia_?Microtus sp.,100
,100
Animalia_Vertebrata_Mammalia_Carnivora_Mustelidae/Mephitidae_Mustelidae_?Mustela frenata,100
Animalia_Vertebrata_Mammalia_Carnivora_Mustelidae/Mephitidae_Mustelidae_?Mustela sp.,100
Animalia_Vertebrata_Mammalia_?Mustelidae,100
Animalia_Vertebrata_Mammalia_Xenarthra_Pilosa_?Mylodontidae sp.,100
Animalia_Vertebrata_Mammalia_Chiroptera_?Myotis lucifugus,100
Animalia_Vertebrata_Mammalia_Lagomorpha_Leporidae_?Nekrolagus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Neotoma,100
Animalia_Vertebrata_Mammalia_Rodentia_?Neotoma cinerea,100
Animalia_Vertebrata_Mammalia_Rodentia_?Neotoma quadriplicata,100
Animalia_Vertebrata_Mammalia_Rodentia_?Neotoma sp.,100
,100
Animalia_Vertebrata_Mammalia_Xenarthra_Pilosa_?Nothrotheriops shastensis,100
Animalia_Vertebrata_Mammalia_?Nothrotheriops sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Cervidae_?Odocoileus hemionus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Cervidae_?Odocoileus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Ophiomys parvus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Oreamnos americanus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Ovis canadensis,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Ovis dalli,100
Animalia_Vertebrata_Mammalia_?Pappogeomys castanops,100
Animalia_Vertebrata_Mammalia_Xenarthra_Pilosa_?Paramylodon harlani,100
Animalia_Vertebrata_Mammalia_Rodentia_?Paronychomys sp.,100
Animalia_Vertebrata_Aves_Passeriformes_Cardinalidae_?Passerina sp.,100
Animalia_Vertebrata_Mammalia_?Perognathus flavus,100
Animalia_Vertebrata_Mammalia_?Perognathus sp.,100
Animalia_Vertebrata_Mammalia_?Peromyscus boylii,100
Animalia_Vertebrata_Mammalia_?Peromyscus leucopus,100
Animalia_Vertebrata_Mammalia_Rodentia_?Peromyscus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Peromyscus truei,100
Animalia_Vertebrata_Aves_Passeriformes_Cardinalidae_?Pheucticus ludovicianus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Platygonus sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Tayassuidae_?Platygonus vetus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Artiodactyla Incertae sedis_?Pliauchenia sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_Cricetidae_?Pliophenacomys osborni,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Eudicotyledoneae incertae sedis_?Populus,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Camelidae_?Procamelus sp.,100
