Animalia,Vertebrata,Mammalia,Cetacea,Odontoceti,Monodontidae,?Delphinapterus sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Dicrostonyx sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Dinohippus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Dipodomys sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Castoridae,?Dipoides rexroadensis,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Sirenia,Dugongidae,?Dugong sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus complicatus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus francisci,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus simplicidens,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Perissodactyla,Equidae,?Equus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Erethizon dorsata,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Euceratherium sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Felidae sp.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Reptilia,Testudinata,Testudines,Cryptodira,Testudinidae,?Geochelone sp.,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Geomys anzensis,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Geomys garbanii,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Geomys minor,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Geomys sp.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Glossotherium sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Glyptodontidae,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Reptilia,Testudinata,Testudines,Cryptodira,Testudinidae,?Gopherus sp.,,,,,,,,,,,,
Animalia,Vertebrata,Aves,Accipitriformes,Accipitridae,?Haliaeetus leucocephalus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia blancoensis,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia macrocephala,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia sp.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Machairodontinae,?Homotherium idahoensis,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Machairodontinae,?Homotherium sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Hyaenidae,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Aves,Accipitriformes,Accipitridae,?Hypomorphnus sodalis,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Lagomorpha,,,,,,,,,,,,,,,,
Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,?Lenarchus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Leporidae,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Lagomorpha,?Lepus americanus,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Lagomorpha,?Lepus californicus,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Lepus sp.,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Lontra canadensis,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Lynx canadensis,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Lynx rufus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammut americanum,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammut sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus columbi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus imperator,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus jeffersonii,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammutidae,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Marmota,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,?Marmota sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Martes americana,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Martes sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Megalonyx jeffersonii,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Megalonyx sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Mephitis mephitis,,,,,,,,,,,,,,
Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Mergini,?Mergus sp.,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Microtus sp.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Mustela frenata,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Mustela sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Mustelidae,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Mylodontidae sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Chiroptera,?Myotis lucifugus,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,?Nekrolagus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma cinerea,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma quadriplicata,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma sp.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Nothrotheriops shastensis,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Nothrotheriops sp.,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Odocoileus hemionus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Odocoileus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Ophiomys parvus,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Oreamnos americanus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Ovis canadensis,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Ovis dalli,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Pappogeomys castanops,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Paramylodon harlani,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Paronychomys sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Aves,Passeriformes,Cardinalidae,?Passerina sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Perognathus flavus,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Perognathus sp.,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Peromyscus boylii,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Peromyscus leucopus,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Peromyscus sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Peromyscus truei,,,,,,,,,,,,,,,
Animalia,Vertebrata,Aves,Passeriformes,Cardinalidae,?Pheucticus ludovicianus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Platygonus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Tayassuidae,?Platygonus vetus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Pliauchenia sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Pliophenacomys osborni,,,,,,,,,,,,,,
Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Eudicotyledoneae incertae sedis,?Populus,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Procamelus sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Procyon lotor,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Prodipodomys minor,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Prodipodomys sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Puma lacustris,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Rangifer sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Rangifer tarandus,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Reithrodontomys sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Rodentia,,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Talpidae,?Scapanus sp.,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,?Sciurus sp.,,,,,,,,,,,,,,
Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Eudicotyledoneae incertae sedis,?Shepherdia,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Sigmodontinae,Sigmodon,?Sigmodon minor,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Rodentia,?Sigmodon sp.,,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Carnivora,Felidae,?Smilodon sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,?Sorex sp.,,,,,,,,,,,,,,
Animalia,Vertebrata,Mammalia,?Spermophilus lateralis,,,,,,,,,,,,,,,,
